Category;Indicator;Unit;Bad;Threshold;Reference;Status
Plants;Biological value Macroalgae;;1;2.5;5;3.37
Plants;Biological value Macroalgae;;1;2.5;5;3.36
Benthic habitats;Biological value Macroinvertebrates;;1;2.5;5;3.73
Benthic habitats;Biological value Macroinvertebrates;;1;2.5;5;3.46
Benthic habitats;Biological value Macroinvertebrates;;1;2.5;5;3.42
Benthic habitats;Biological value Macroinvertebrates;;1;2.5;5;3.47
Benthic habitats;Biological value Macroinvertebrates;;1;2.5;5;3.21
Fish;Biological value Demersal Fish;;1;2.5;5;2.79
Fish;Biological value Demersal Fish;;1;2.5;5;3.8
Fish;Biological value Demersal Fish;;1;2.5;5;3.71
Fish;Biological value Demersal Fish;;1;2.5;5;3.88
Fish;Biological value Demersal Fish;;1;2.5;5;4.29
Fish;Biological value Demersal Fish;;1;2.5;5;3.5
Birds;Biological value Seabirds;;1;2.5;5;3.83
Birds;Biological value Seabirds;;1;2.5;5;3.71
Birds;Biological value Seabirds;;1;2.5;5;2.62
Birds;Biological value Seabirds;;1;2.5;5;1.25
Birds;Biological value Seabirds;;1;2.5;5;1
Birds;Biological value Seabirds;;1;2.5;5;4.22
Mammals;Biological value Mammals;;1;2.5;5;1.48
Mammals;Biological value Mammals;;1;2.5;5;2.52
Mammals;Biological value Mammals;;1;2.5;5;2.14
Mammals;Biological value Mammals;;1;2.5;5;2.38
Mammals;Biological value Mammals;;1;2.5;5;2.25
Mammals;Biological value Mammals;;1;2.5;5;1.63
Fish;Catch-biomass ratio Engraulis;;1;0.3;0;0.120324902
Fish;Fishing mortality L. budegassa (VIIIC & Ixa);;3;1;0;0.6225
Fish;Fishing mortality L. piscatorius;;1;0.19;0;0.1875
Fish;Fishing mortality L. boscii (8c9a);;1;0.17;0;0.26725
Fish;Fishing mortality L. whiffiagonis (8c9a);;1;0.17;0;0.15
Fish;Fishing mortality Merluccius BoB+North;;1;0.27;0;0.375
Fish;Fishing Mortality Merluccius  Iberian Waters;;1;0.24;0;0.707
Fish;Fishing mortality Sardine VIIIc+Ixa;;1;0.27;0;0.5575
Fish;Fishing mortality Trachurus;;1;0.13;0;0.149
Fish;Fishing mortality Scomber (NEAM);;1;0.22;0;0.21725
Fish;Fishing mortality Micromesistius (I-IX);;1;0.3;0;0.1215
Fish;Fishing mortality T. alalunga;;1;0.1486;0;0.078874735
Fish;Fishing mortality T. thynnus;;1;0.3025;0;0.108
Fish;Fish larger than mean size 1st sexual maturation Engraulis;%;0;50;100;99.99
Fish;Fish larger than mean size 1st sexual maturation L. budegassa;%;0;50;100;46.44
